id,data,label_huy,label_ngan,label_choe
2,Đéo thấy vị trí ad có con cặc gì mà không thoả mãn í 😂 trong bài cũng đéo nhắc đến 2 mid luôn,positive,negative,negative
14,"Thà joke với viper các mẹ bỉm nhạy cảm giãy thì còn được, chứ joke với thằng teddy, ng đang ở đội bxh ở đáy mà các mẹ bỉm tin không giỡn và tin teddy có khả năng tranh asiad với guma thì mẹ bỉm đẳng cấp bông tuyết rồi",neutral,negative,negative
17,"mấy đứa chê Guma đúng ếch😌 chỉ thấy bề nổi của tảng băng chìm😌 phải thấy KDA các ván cao chót vót, phải nhiều penta thì mới là oai, chứ có baoh xem quá trình tuyển thủ đi đường hay nhìn dam cuối trận tổng là bao nhiêu đâu😌",positive,negative,neutral
18,"ngầm ý bảo thằng zeus không hy sinh thì hơn cả nực cười 😂😂😂😂 mấy con loz lại bắt đầu kêu em tao bắt đầu 1 vụ cƯớP kkkk chả hiểu cướp cái lồn gì khi nó là lựa chọn ƯU TIÊN và DUY NHẤT. ONE AND ONLY đéo bàn cãi, giãy thì viết khiếu nại, xàm lồn ăn chửi đéo oan. tao chính là chửi CEO GENG hôm nay đấy, cư xử ngu dốt đến tột cùng",positive,negative,negative
21,"Hôm qua tui chơi gem xong ngủ luôn tới trưa nay mới động vào điện thoại thì thấy nổ tung rồi, giờ lướt lại mới thấy nhiều bạn giải thích rồi, miễn là lịch sự với họ thì họ sẵn lòng nói rõ mà. Vào cắn rồi bảo sao người ta nhạy cảm",positive,neutral,neutral
23,"Tính ra cái câu joke đó hài vcc, mà chắc mẹ bĩm tới tháng, hơi nhạy cảm nên phải lên thread khóc cho thiên hạ xem, mà hiệu quả thật, hoá ra trên cái nền tảng này lắm con hãm lz giống nhau",positive,negative,negative
29,Xin lỗi vì đã kệ mẹ thay vì đi def cho thằng ad trẻ khác dù thằng ad nhà mình còn đang trầy trật với đám khốn nạn ngoài kia 😅🙏💦,neutral,negative,negative
31,Ê nha ê nha dth dữ z tr 👉👈,neutral,positive,positive
32,"Ngày đó k ai muốn claim thông điệp này, giờ thì ai cũng muốn claim:)))))",positive,positive,neutral
33,"không sao, cố gắng chờ em nó trở lại 🫳🏻",neutral,positive,positive
39,"Được cái tuyệt đối không tha cho T1 với tuyển thủ T1 luôn ta ơi, lúc nhà nó chơi Zigg thắng thì vẫn có đứa nó nhắc T1, nay fan T1 thuần khen T1 không nhắc đến tên ai thì
@sno_wball98 cũng phải chọt fan T1 1 cái , không quên được T1 hay luỵ nyc mà cứ phải dí mỏ vào chuyện nhà T1 thế em? Thay máu rồi mà em nhỉ 😞",positive,neutral,negative
40,Quá vớ vẩn và xàm l ! Dcme oner bị scam quả đau vãi l,neutral,neutral,negative
41,fan Zeus cũng k biết cái văn mẫu này ở đâu nữa=))) hàng trôi nổi k rõ nguồn gốc,negative,neutral,neutral
47,"Em biết các anh chị thích trai trẻ rồi, nma để ý th xạ thủ già của đội tuyển quốc gia này một tí 😔💔🐧",neutral,positive,positive
48,"Fan đội khác tự dưng lại đi chĩa mỏ vào, rồi cái câu ""Việc nhà mày à?"" đâu phải tự dưng sinh ra =)) Giận quá mất khôn, nói khùng nói điên gì đâu không",positive,positive,negative
51,Đàn bò nhà ảnh nuôi còn kêu là ảnh chửi thì nghe thôi thì biết nước đi của ảnh quá đỉnh rồi.,neutral,neutral,negative
53,"Nghe cô e nói chuyện đồ rằng cách cài game cô em cũng đéo biết. Thuật ngữ game như GG FF em cũng mù mờ như tương lai của em vậy. Anh chiều đc nghỉ đang rảnh nên a ko ngại thông cái não em ra. Tiếng anh đầy đủ là Untimate. Chatgpt giải thích cho em là Ultimate → nghĩa là “tối thượng”, “cuối cùng”, “cao nhất”. Ví dụ: “ultimate goal” = mục tiêu tối thượng “ultimate version” = phiên bản mạnh nhất/tốt nhất Ult → viết tắt của “ultimate”, thường dùng trong game để chỉ “chiêu cuối”.",neutral,negative,negative
57,việc loz j mà phải hèn 0/7 vẫn cứ lao lên th sợ dái j oh yeah,neutral,negative,positive
60,"Chơi kaisa mà toàn lao vào mở, tìm góc make play không ấy =)))) nó R lần nào team bạn hú hồn lần đó, rất ảo thuật",neutral,neutral,positive
67,cha mẹ nó chắc tự hào về nó lắm 🥹,negative,neutral,positive
70,Cố lênnnnnnnnnn,neutral,positive,positive
78,"dạ 173 ạaa
em cảm ơn chị đã GA ạ",positive,positive,neutral
85,Ê. Ước j bên Gustone lên donate r nhắc nó vụ này ha🤣🤣🤣,negative,neutral,neutral
87,Anh Cuzz cũng quái vl ra ảnh biết thằng Guma hay đề phòng mấy quả gank early của ảnh nên ảnh chơi chiêu z đó 😭,positive,positive,neutral
92,"1. Nocturne gank đầu game yếu vì không có nhiều khống chế và chống chịu, và champ này cần hướng tới lv6 nhanh nhất có thể.
2. HLE có 1 con mắt ở bùa xanh KT để phát hiện Cuzz ở đó --> Kanavi qua cướp rừng để tối ưu tốc độ lên lv6.
T nghĩ đó là ý đồ của team, và cũng không ngờ được rằng Cuzz sẽ đi gank luôn thay vì cướp rừng để gỡ lại bãi quái bị cướp.",positive,neutral,neutral
96,"T k nhìn nhầm thì có đoạn th Guma lấy lá chắn adc team bạn và ép ngta phải biến về với thế lính xấu á, từ đó hơn quá trời luôn",positive,neutral,neutral
